Language Name	Population (LP)	Internet Population (IPop)	Economy (PPPGDP)	Internet addresses (IPv4)	Ranking (LP)	Ranking (IPop)	Ranking (PPPGDP)	Ranking (IPv4)
Hindi	509.77	76.98	2778.15	14.93	1	4	4	6
English	461.03	125.76	4406.65	54.02	2	1	1	1
Bengali	254.17	25.18	1034.95	3.97	3	8	7	21
Arabic	182.66	84.20	4213.69	30.72	4	3	2	3
Russian	180.16	103.17	3872.96	53.63	5	2	3	2
Indonesian	158.69	25.10	1528.93	11.31	6	9	5	8
Telugu	89.52	13.52	487.87	2.62	7	16	14	25
Marathi	87.03	13.14	474.32	2.55	8	17	15	27
Javanese	84.66	13.58	820.57	6.09	9	15	10	17
Vietnamese	77.13	33.86	408.46	13.45	10	5	17	7
Tamil	74.73	12.00	437.84	2.55	11	19	16	26
Persian	73.81	19.43	1012.27	8.54	12	12	8	10
Turkish	72.45	33.55	1359.87	15.72	13	6	6	5
Urdu	62.17	9.39	338.80	1.82	14	23	20	37
Filipino	58.49	21.64	385.85	3.24	15	11	18	22
Gujarati	55.95	8.45	304.92	1.64	16	26	22	41
Thai	54.58	15.80	771.60	6.92	17	14	11	16
Egyptian Arabic	53.57	26.55	582.27	8.02	18	7	13	12
Kannada	46.00	6.95	250.71	1.35	19	28	32	43
Malayalam	40.53	6.65	261.68	1.47	20	29	29	42
